id,ee_r264_label,ee_r264_name,country_area_km2,tourism_area_km2,percentage_tourism_area
196,SGS,South Georgia and the South Sand,1455851.687108465,1234249.6644380142,84.77853035218271
197,SHN,"Saint Helena, Ascension and Tris",1646098.6150396587,892994.1377045421,54.24912757629819
198,SJM,Svalbard and Jan Mayen,60348.94541630342,42248.76012633434,70.00745387494499
199,SLB,Solomon Islands,1629157.1016145647,1219.0016997475025,0.07482407304608128
200,SLE,Sierra Leone,232725.12409412098,7524.037113456362,3.233014545697875
201,SLV,El Salvador,114764.35527870219,5373.250353617559,4.68198539569953
202,SMR,San Marino,61.40005421664561,0.0,0.0
203,SOM,Somalia,1461314.0437742968,94610.47290211207,6.4743422746934804
204,SPM,Saint Pierre and Miquelon,12950.690461602353,20.276935558477028,0.15657030502424826
205,SRB,Serbia,78229.60880890075,5834.0650757134745,7.457617600983951
206,SSD,South Sudan,628099.4565666582,98430.98844694895,15.671242415173586
207,STP,Sao Tome and Principe,132866.33800750837,322.52433121825527,0.24274344883354065
208,SUR,Suriname,274681.393432633,32635.575363470034,11.881247199029545
209,SVK,Slovakia,49092.833454095264,10294.196314919893,20.968837181796772
210,SVN,Slovenia,20168.02160750405,14202.202263386931,70.41941217527564
211,SWE,Sweden,607755.8328761879,87855.50828151265,14.45572440921527
212,SWZ,Swaziland,17384.00345745924,3220.855078989841,18.527694652567593
213,SXM,Sint Maarten,556.9267707915159,84.65237678214845,15.199911590142944
214,SYC,Seychelles,1335576.101670015,197558.8068964717,14.792029196198001
215,SYR,Syria,197185.29758716028,9.124017528000635e-06,4.6271287158047955e-09
216,TCA,Turks and Caicos Islands,155444.45071928852,957.6268693447012,0.6160572892203432
217,TCD,Chad,1269949.0859659284,32220.375184066383,2.537139129444661
218,TGO,Togo,72779.49806857052,4431.578459062394,6.089047845434579
219,THA,Thailand,820185.5355704955,136934.1574975245,16.695509925358213
220,TJK,Tajikistan,142112.6860439304,49070.51440367455,34.52929908629388
221,TKL,Tokelau,16.605289285841494,0.0,0.0
222,TKM,Turkmenistan,552380.7044752636,16849.33947721997,3.0503128260474037
223,TLS,Timor-Leste,57786.92864596554,3347.521766523957,5.792870195667802
224,TON,Tonga,666644.5001225601,390.1505816763804,0.05852453318142619
225,TTO,Trinidad and Tobago,80640.3675980449,1369.9586153267112,1.6988496656604095
226,TUN,Tunisia,256288.3749567396,13895.522598671938,5.421831013996418
227,TUR,Turkey,1038272.1356045131,2253.9104029597975,0.21708281727579093
228,TUV,Tuvalu,752748.3616884046,67.23743017829017,0.008932258587382044
229,TWN,Taiwan,379456.9792508384,7843.330836349011,2.0669881607749296
230,TZA,Tanzania,1182362.3620737481,237213.63708017737,20.06268506924796
231,UGA,Uganda,241441.80593561073,18370.25198040473,7.608563027938843
232,UKR,Ukraine,734739.2939368805,17393.51902224326,2.367304861163107
233,UMI,United States Minor Outlying Isl,3754341.4039511527,3373943.0714048557,89.86777462097727
234,URY,Uruguay,308360.98843507416,20599.110385360193,6.680193396025958
235,USA,United States,18115009.263373017,5316057.9464746,29.34615085857676
236,UZB,Uzbekistan,447552.167234318,36331.85884892955,8.11790479609226
237,VAT,Vatican City,0.6400193233823065,0.0,0.0
238,VCT,Saint Vincent and the Grenadines,37076.47846413981,199.75134379597557,0.5387548981739841
239,VEN,Venezuela,1440242.7292694342,496588.16323437827,34.479477184118366
240,VGB,British Virgin Islands,80928.62707283639,54.47819637843489,0.06731634818097691
241,VIR,"Virgin Islands, U.S.",407.12757243222575,109.46639006197078,26.88749116352064
242,VNM,Vietnam,973860.9723344588,70480.49231385757,7.237223209069316
243,VUT,Vanuatu,633082.23120641,1314.0644832530052,0.20756616099442665
244,WLF,Wallis and Futuna,259233.13190375152,0.0,0.0
245,WSM,Samoa,135290.25970101164,331.8366925250369,0.24527759297556848
246,XAD,Akrotiri and Dhekelia,232.6893710251579,35.768841577165006,15.371927570038322
247,XCL,Clipperton Island,9.90951908457843,0.0,0.0
248,XKO,Kosovo,10836.750656900918,280.6656879189965,2.5899432108855125
249,XPI,Paracel Islands,19.775616870859928,0.0,0.0
250,XSP,Spratly Islands,438621.9085481621,6.615116080035449,0.001508159066183327
251,YEM,Yemen,999491.6144201767,4106.044635247228,0.41081331509011404
252,Z01,India,104243.9241299917,47.5436689115655,0.04560809592344083
253,Z02,China,4577.822379640597,24.110512008656066,0.526680810419494
254,Z03,China,30947.0743852194,0.0,0.0
255,Z04,India,307.9991106586343,0.0,0.0
256,Z05,India,258.04487588483465,250.44424048281925,97.0545296139081
257,Z06,Pakistan,81807.84010238104,8982.199290743782,10.979631389244258
258,Z07,India,67124.5363466294,27.770957940721935,0.04137229015231244
259,Z08,China,1417.237598628293,0.0,0.0
260,Z09,India,1084.0602998960023,0.0,0.0
261,ZAF,South Africa,2762852.561953516,342444.45231544576,12.394597418304338
262,ZMB,Zambia,751172.0522037046,66898.76315170905,8.90591748660629
263,ZNC,Northern Cyprus,3313.380110033611,1.6048772697550284,0.048436255921713384
264,ZWE,Zimbabwe,390326.0974570899,42526.06559288195,10.895009549689924
